Word,Replacement
incontinentia,incontinenti
incontinentie,incontinenti
incotinenti,incontinenti
christianam,christiana
cristianiam,cristianam
fidedingnorum,fidedignorum
compositorem,compositores
compositoris,compositores
compositore,compositor
laudunensi,laudunensis
lausdunensis,laudunensi
aurelianense,aurelianensi
aurelianensem,aurelianensi
augmentatio,augmentato
augmentasti,augmentati
presencialiter,presentialiter
presentaliter,presentialiter
iniquitates,iniquitatem
inquitatis,iniquitatis
iniquitati,iniquitatis
transitorias,transitoria
transitorii,transitoria
celebraturi,celebratur
celebrantur,celebratur
celebraturo,celebraturos
celebratura,celebratur
perfruendam,perfruendum
profectionis,profectione
acidentibus,cedentibus
assidentibus,asidentibus
sumerecotes,sumercotes
comparentem,competentem
comparente,comparentes
comperentes,competentem
conparentes,comparentes
comparentis,comparenti
comparantes,comparante
incumbencia,incumbentia
incumbentis,incumbendis
coiudicibus,coniudicibus
quarentenas,quarentena
quarentenam,quarentena
fraunkelein,frankelein
frankeleine,fraunkelein
conquiuerunt,conquieuerunt
conquieuerint,conquieuerunt
transferendi,transferendo
transferendos,transferendi
transferenda,transferendo
deuestientis,deuestientes
ecclesiastice,eclesiastice
ecclesiastici,eclesiastice
ecclesiastica,eclesiasticas
prosperitatem,prosperitate
prosperitates,prosperitatis
prosperitati,prosperitatis
uerumptamen,uerumtamen
testimoniis,testimonii
autrinsecus,altrinsecus
posteritati,posteritatis
posteritates,posteritati
agricultura,agriculturam
agricultaram,agriculturam
uicecomitum,uicecomitem
vicecomitum,uicecomitem
uicecomituum,uicecomitem
corroborare,coroborare
coroborarem,coroborare
rcoroborare,coroborare
gloucestriam,gloucestria
glocestriam,gloucestria
inreuocabiliter,ireuocabiliter
coepiscopis,cepiscopis
decimationum,decimationem
conuersione,conuersionem
hundretorum,hundredorum
hundredarum,hundredorum
pacificatam,pacificatum
pacificatas,pacificatis
conseruanda,conseruandam
conseruandum,conseruandam
conseruandas,conseruandis
conservandam,conseruandum
conuertatur,conuertantur
conuertentur,conuertatur
conuertuntur,conuertantur
inspectionem,inspectione
recuperaret,recuperaset
preparabunt,reparabunt
fidedingnos,fidedignos
tornodorensi,tornodorensis
tornodorenses,tornodorensi
tonodorensis,tornodorensis
posssessionibus,possessionibus
cupiditati,cupiditatis
interdictu,interdictum
interdictam,interdicta
foelicitatis,felicitatis
felicitati,felicitatis
principatus,principatum
principatu,principatum
principatur,principantur
desideremus,decideremus
decideramus,decideremus
desideratus,desideratis
multiplicia,multiplici
propinquiorum,propinquorum
propinquorem,propinquorum
propinquarum,propinquorum
sustentarem,sustentare
primicherius,primicerius
primixerius,primicerius
discretionum,discretionem
institueret,instituerat
ordinauerint,ordinauerit
ordinauerant,ordinauerunt
conburendum,comburendum
comburendam,conburendum
comburendus,comburendum
creditionem,reditionem
paupertatis,paupertati
asentientes,sentientes
assentiente,asentientes
distribuantur,distribuatur
distribuetur,distribuantur
excomunicabimus,excomunicauimus
testificamus,testificatus
testificatur,testificantur
cirografatum,cirograpatum
cirograpatam,cirografatum
cirografpatum,cirograpatum
mclxxxxuiii,mclxxxxiiii
mclxxxuiiii,mlxxxuiiii
couentrens,couentrensi
couentrense,couentrensem
conuentrens,conuentren
defendendos,defendendo
admerciamentis,amerciamentis
merciamentis,amerciamentis
winterburne,winterburn
winterburna,winterburnan
winterbourn,winterburn
renuntiamus,renunciamus
denunciamus,renuntiamus
pisiacensi,pisiacensis
pinsiacensis,pisiacensis
puisiacensis,pisiacensis
pisiacencis,pisiacensis
neuernensium,niuernensium
figiacensi,figiacensis
figiacenses,figiacensem
successorres,successores
successore,successores
successoris,successuris
decreuerint,decreuerunt
quarumlibet,quorumlibet
instructionem,instructione
instructiones,instructione
instrictione,instructione
instructioni,instructione
protendatur,protenditur
pretenditur,protendatur
protendetur,protenditur
wigornensi,wigornensis
wiogornensi,wigornensis
beneplacito,beneplacita
beneplaciti,beneplacita
beneplacitam,beneplacitum
beneplacit,beneplacita
impertrauit,impetrauit
consanguineis,consanguineus
consanguineum,consanguineus
consanguineos,consanguineo
comperuimus,comperimus
susceperint,susceperit
susceperant,susceperat
susciperunt,susciperent
constantino,constantini
constantii,constantini
constantinio,constantini
constantin,constantini
constantina,constantia
obseruanciam,obseruantiam
obseruantia,obseruantiam
obseruantias,obseruanciam
observantiam,obseruantia
obseruantium,obseruantiam
laudationem,laudatione
laudationes,laudationis
perquisiui,perquisiuit
perquisivit,perquisiuit
hebergamentum,herbergamentum
ministratium,ministralium
concordaret,concordarent
obligabimus,obligauimus
reseruantem,reseruantes
reserantes,reseruantes
licfeldensis,licefeldensis
licefeldensi,licfeldensis
licetfeldensis,licefeldensis
lichefeldensis,licefeldensis
licesfeldensis,lichefeldensis
lichfeldensis,licefeldensis
licifeldensis,licetfeldensis
licedfeldensis,liccedfeldensis
aprobationis,aprobatione
probationi,aprobatione
prolationis,prolationi
masticonensi,masticonensis
masticonenses,masticonensem
garantizabit,warantizabit
garentizabit,warantizabit
guarantizabit,garentizabit
garantisabit,warantizabit
eboracense,eboracensem
eboricensem,eboracensem
suscipiente,suscipient
suscipientem,suscipientes
suscipientis,suscipiendis
tabernaculi,tabernacula
thabernacula,tabernacula
tabernaculo,tabernacula
ineffabilis,inefabilis
resipiscant,resipiscat
conferendam,conferenda
conferendas,conferenda
transmarinas,transmarinis
transmarinos,transmarinis
incessanter,incesanter
walingeford,walingford
walingforde,walingeford
resurrectionis,resurectionis
resurextionis,resurexionis
resurectioris,resurectionis
rexsurectionis,resurectionis
rexurectionis,resurectionis
parochianus,parocianus
eclesiasticarum,eclesiasticorum
ecclesiasticorum,eclesiasticarum
eclesiasicorum,eclesiasticorum
imutationem,imutatione
mutuationem,mutuatione
cristiaanus,cristianus
recognoscant,recognoscunt
pertinendis,pertinentis
pertinencis,pertinencia
pertinendas,pertinenda
securitatis,securitati
quietaclamantia,quietaclamancia
quietaclamancie,quieteclamancie
quitaclamancia,quietaclamancia
emendabatur,emendabitur
renuntiationem,renunciationem
denunciationem,renuntiationem
renunciatione,denunciationem
renunciationes,renunciationem
renunciatonem,renunciationem
negligenter,negligentes
necgligentes,negligentes
neggligentes,negligentes
perseuerabit,perseuerauit
perseruerauit,perseuerauit
arbitratorem,arbitratores
arbitratoris,arbitratores
medeshamsted,medeshamstede
abitatoribus,habitatoribus
piscatione,piscationem
piscationes,piscationis
piscationum,piscationem
adstipulatione,astipulatione
astipulacione,adstipulatione
astipulationes,astipulatione
latrocinium,patrocinium
coelestibus,celestibus
celebrandas,celebranda
transuersu,transuersum
transuersus,transuersum
transversum,transuersum
longitundinis,longitudinis
protomartiri,protomartiris
prothomartiris,protomartiris
protomartyris,protomartiri
protomatiris,protomartiris
clamationi,clamationis
clamacionis,clamationis
clamantionis,clamationis
etheluueard,atheluueard
atheluuerd,atheluueard
atheluuard,atheluueard
exhibitione,exhibitionem
exibitionem,exhibitione
exhibitiones,exhibitionis
inscripcione,inscripciones
inscriptionem,inscriptione
vestimentis,uestimentis
uestimenti,uestimentis
ministerii,ministeriis
innocentium,innocentum
calumpnians,calumpnias
herefordens,hereforden
impunitatem,imunitatem
immunitatem,imunitatem
inmunitatem,impunitatem
certitudine,certitudinem
cercitudinem,certitudinem
sustinendam,sustinendum
sustinendas,sustinendis
excomunicamus,excomunicatus
excommunicamus,excomunicatus
excomunicemus,excomunicatus
infirmariam,infirmaria
infirmarias,infirmarius
scementario,cementario
pertinerent,pertineret
dictauerint,ditauerint
comtempnens,contempnens
contempnans,contempnens
quietuclamauerunt,quieteclamauerunt
quietamclamauerunt,quietaclamauerunt
quietumclamauerint,quietumclamauerit
desolationis,desolationi
circumscisionis,circumcisionis
apropriationem,apropriatione
apropriationi,apropriationis
apropriationes,apropriationis
probauerunt,probauerint
aprobauerint,aprobauerunt
aprobauerunti,aprobauerunt
suplicarent,suplicasent
suplicabunt,suplicarunt
adimplendas,adimplendis
adimplendam,adimplendum
distribuentur,distribuantur
perstiterint,perstiterit
persteterunt,perstiterunt
causamentis,casamentis
restauratio,restaurati
restauratis,restaurati
uernonensi,uernonensis
ueronensis,uernonensis
guilermetam,guilermeta
piscacionibus,pascacionibus
picationibus,piscationibus
dispensanti,dispensante
dispensantes,dispensante
conscripsit,conscripsi
pacientibus,pacientius
relinqueret,relinquere
deprehensum,deprehensus
deprehensis,deprehensi
reprehensus,deprehensus
deprehensos,deprehenso
coedificacione,coedificatione
contempnentem,contempnentes
contemnentes,contempnentes
contempnente,contempnentes
contempnentis,contempnentes
condempnentes,condempnantes
disponendam,disponendas
repositorum,repositorium
propositorum,propositurum
distributis,distributio
distributi,distributio
consanguinei,consanguineo
consanguinea,consanguineum
consanguinee,consanguineo
consanguinem,consanguineum
distributionem,distributione
distributiones,distributione
distributioni,distributiones
distribucione,distributione
succedentium,sucedentium
anguillarum,anguilarum
uenationibus,uexationibus
possiderunt,posiderunt
persoluetur,persoluatur
persoluitur,persoluatur
firmamentem,firmamentum
uendicabunt,uendicabant
uendicabat,uendicabant
instituatur,instituetur
instituentur,instituatur
executionis,executioni
exsecutioni,executione
execqutioni,exequtioni
quandrantes,quadrantes
congnoscentibus,cognoscentibus
cresingeham,cretingeham
creslingham,cresingham
diseisiauit,diseisiuit
diseiseiuit,diseisiuit
cognoscentes,cognoscente
congnoscente,cognoscentes
cognoscent,cognoscente
necesitati,necesitatis
necessitatis,necesitatis
comparebant,comparebunt
nortelmeham,nortelmham
lemouicensi,lemouicensis
lemouiensis,lemouicensis
lemouicenses,lemouicensis
posidebimus,posidebamus
posideamus,posidebamus
posideramus,posideremus
uiromanduorum,uiromandorum
uirmandorum,uiromandorum
ueromandorum,uiromandorum
uiromanorum,uiromandorum
pontisariensis,pontisarensis
pontisarensi,pontisarensis
pontisarenses,pontisariensis
beatitudine,beatitudinem
condicionem,condicione
retributione,retributionem
retribucionem,retributionem
restituantur,restituatur
restituetur,restituantur
uniuscujusque,uniuscuiusque
uniuscuisque,uniuscuiusque
vniuscuiusque,uniuscuiusque
ministrantem,ministrantes
ministrantis,ministrantes
ministrante,ministranti
habitatore,habitatores
abitatores,habitatores
habitatorem,habitatorum
inhabitandam,inhabitandum
sanctissime,sanctisime
deliberaret,deliberare
deliberarem,deliberare
uindocinensi,uindocinensis
uendocinensis,uindocinensis
uindocinenses,uindocinensem
recognoscente,recognoscentes
recognoscentis,recognoscentes
recognocentes,recognoscentes
hospitalariis,hospitalarii
hospitalario,hospitalariis
hospitelarii,hospitalarii
hospitilarii,hospitalariis
hospitalaris,hospitalariis
adsignabunt,asignabunt
designauerunt,resignauerunt
resignauerint,resignauerit
adquietatione,acquietatione
aquietatione,acquietatione
acquitatione,acquietatione
acquietationem,adquietatione
acquietantione,adquietatione
acquictatione,acquietatione
percipiendarum,percipiendorum
frequentibus,frequentius
frequencius,frequentius
frequentium,frequentius
frequentus,frequentius
quantumcunque,quantumcumque
quantamcumque,quantacumque
quamtumcumque,quantumcumque
subponentes,suponentes
compelatur,compelantur
compelentur,compeletur
compeluntur,compelantur
conpelantur,conpelatur
cementariis,cementarius
laudationi,laudationis
fidutiauerunt,fiduciauerunt
afiduciauerunt,fiduciauerunt
fiduciauerant,fiduciauerunt
admodiatione,admodiationem
amodiationem,admodiationem
iouuigniaci,iuuigniaci
decreverunt,decreuerunt
interdiximus,interdicimus
interdicamus,interdicimus
commendamus,comendamus
habitancium,habitantium
habitaneium,habitantium
poenitentie,penitentie
descenderem,descendere
kincgestune,kingestune
consequentur,consequantur
distribuendos,distribuendas
distribuendam,distribuendum
distribuendis,distribuendas
distribuenda,distribuendis
promotione,promotionem
promotiones,promotionis
literatoria,literatoriam
lincolniense,lincolniensem
lincoliensem,lincoliensis
radingensi,radingensis
radingenses,radingensis
clareualensi,clareualensis
clareualenses,clareualensem
procesionis,procesioni
professionis,profesionis
contirmaremus,confirmaremus
inueniendam,inueniendum
perceperit,perceperint
celebrantes,celebrantem
celebrante,celebrantem
extimationis,estimationis
exsequamini,exequamini
constructio,constructo
constructi,constructis
constrictis,constricti
constructos,constructo
indulgenciis,indulgentiis
fauourabiliter,fauorabiliter
adquisiuimus,acquisiuimus
landegemere,landgemere
landgemeres,landgemere
hlandgemere,landgemere
remunerationes,remunerationem
remuneracionis,remunerationis
expiationem,expiatione
scirburnensis,scireburnensis
scireburnensi,scireburnensis
sciraburnensis,scireburnensis
schireburnensis,scireburnensis
shireburnensis,sciraburnensis
shcireburnensis,scireburnensis
scyreburnensis,scirburnensis
emancipatus,mancipatus
subsequenter,subsequentes
subsequente,subsequenti
subsequentem,subsequentes
subsequentis,subsequenti
miseracionis,miserationis
conscriptam,conscripta
conscriptas,conscriptis
inposuerunt,imposuerunt
snbsequentibus,subsequentibus
incipiendos,incipiendo
superstites,superstite
superstitem,superstite
iherosolimam,ierosolimam
hierosolimam,ierosolimam
ierosolima,hierosolimam
lerosolimam,ierosolimam
ierusolimam,ierosolimam
saresbiriensis,saresberiensis
saresburiensis,saresberiensis
salesbiriensis,saresberiensis
sarisbiriensis,salesbiriensis
conuenientes,conuenienter
conuenientem,conuenienter
conueniente,conuenienti
convenienter,conuenienter
conuenientur,conueniantur
quietanciam,quietantiam
quietantias,quietantiam
quitantiam,quietantiam
quietantia,quietantiam
quietentiam,quietantiam
aquietantiam,aquietantium
confirmate,confirmante
institutioni,institutionis
insitutionis,institutionis
intitutionis,institutionis
leircestria,leicestria
leicestriam,leicestria
leiacestria,leicestria
negligentia,negligentiam
negligenciam,negligentia
negligentias,necgligentias
interpositionem,interpositione
recongnitionis,recongnitione
candelabrum,candelarum
difinitione,difinitionem
difinitionis,diffinitionis
diffinitioni,difinitione
definitioni,difinitionis
exsequendum,exequendum
apropriata,apropriatam
apropriatum,apropriatam
apropriatas,apropriatis
cessantibus,cesantibus
subcentoris,sucentoris
subpriorisa,subprioris
persoluetis,persolutis
persoluatis,persolutis
personatibus,personalibus
matisconense,matisconensem
sexteriorum,exteriorum
nominanatur,nominantur
postulatione,postulationem
postulationes,postulationis
substantiam,substantia
substantias,substantiis
transferente,transferentes
transferantes,transferentes
tranferentes,transferentes
lundoniensi,lundoniensis
lundoniens,lundoniensis
lunduniensi,lundoniensis
lundoniense,lundoniensis
lundiniensi,lundoniensis
lundonensi,lundoniensis
instituatis,institutis
transitorie,transitoria
transitorio,transitoria
fidelissimi,fidelissimis
fidelissima,fidelissimo
fidelissime,fidelisime
infregerint,infregerit
amonitione,admonitione
admonitionem,admonitione
ammonitione,admonitione
admonicione,admonitione
admunitione,admonitione
admonitiones,admonitione
diffinitionem,difinitione
definitionem,difinitione
difinitiones,difinitionem
difinitionum,difinitionem
difinicionem,diffinitionem
beniuolentia,beniuolentiam
benivolentiam,beniuolentia
beneuolentiam,beniuolentia
beniuolenciam,beniuolentia
beniguolentiam,beniuolentiam
begniuolentiam,beniuolentiam
precepturus,recepturus
prerogatiuam,prerogatiua
prerogativa,prerogatiuam
prerogatiuo,prerogatiua
prerogatiue,prerogativa
nostrorumue,nosirorumue
persoluerunt,persoluerint
persoluerit,persoluerint
persoluerent,persoluerint
determinatur,determinatum
determinatam,determinata
castelmorum,castelorum
castellorum,castelorum
seruitorum,seruitiorum
uicecomitatus,uicecomitatum
uicecomitatu,uicecomitatum
uicecomitatuum,uicecomitatum
uicecomitatumc,uicecomitatum
guoscelinus,goscelinus
procesione,procesionem
procesiones,procesionem
hedificauit,edificauit
imperatrici,imperatrice
imperaticis,imperatricis
inperatricis,imperatricis
conversatio,conuersatio
conuersati,conuersatio
conuersacio,conuersatio
construenda,construendam
construendi,construendam
construendas,construendi
construendo,construendam
construende,construendam
construend,construendam
conseruauit,conseruabit
conservabit,conseruabit
conseruavit,conseruabit
macinationem,macinatione
machinatione,macinationem
macinationi,macinatione
macinationes,macinatione
inpresionibus,impresionibus
piscatoriis,piscatoris
restituemus,restituimus
restituamus,restituimus
detentionem,detentione
detentiones,detentionis
berengerius,berengarius
berengarium,berengerius
transcripta,transcripto
transcripti,transcriptis
transcripte,transcripto
satisfacient,satisfaciant
satisfaciens,satisfaciant
acquirendis,adquirendis
adquirendi,adquirendis
aquirendis,adquirendis
adquirendas,adquirenda
adquerendis,adquirendis
aqquirendis,adquirendis
auertentes,aduertentes
ministraturum,ministraturus
ministraturos,ministraturus
prouisionis,prouisioni
castelacram,castelacra
inquirantur,inquiratur
prouidendis,prouidendi
sequestratione,sequestrationem
suplicatione,suplicationi
puplicationem,publicationem
suplicationes,suplicationem
supplicationem,suplicatione
duplicationem,suplicationem
suplicationum,suplicationem
autisiodorense,autisiodorensem
altisiodorensem,autisiodorensem
exequutores,exequtores
exequitores,exsequitores
exequntores,exequtores
siluanecti,siluanectis
siluanectim,siluanectum
siluanectin,siluanectis
siluanectas,siluanecta
reclamarent,reclamaret
presumerent,presumeret
huuicciorum,huicciorum
gubernaculo,gubernacula
libentisime,libentissime
libertissime,libentissime
liventissime,libentissime
libentissimo,libentisime
recipienda,recipiendas
ethilbaldus,ethelbaldus
ethelbaldes,ethelbaldus
ethelwaldus,ethelbaldes
athelbaldus,ethelbaldes
plenitudinem,plenitudine
penitudine,plenitudine
plenitudini,plenitudine
poenitudine,plenitudine
beorhtnothe,beorhtnoth
beorhtnotho,beorhtnoth
remuneratione,remunerationem
remuneracionem,remuneratione
precedentis,precedenti
precedentia,precedenti
succedentes,succedente
excoluerit,excoluerint
excoluerunt,excoluerint
excoluerant,excoluerint
deuotissime,deuotisime
coroborauit,coroboraui
suppliciter,supplicitur
indulgentie,indulgentia
indulgencie,indulgentia
indulgente,indulgentes
templarlorum,templariorum
templiariorum,templariorum
destructione,destructionem
restructionem,destructione
destructiones,districtiones
profesionibus,procesionibus
karliolensi,karleolensi
karleolensis,karleolensi
carliolensis,karleolensis
seilionibus,seilonibus
cohertione,cohertionem
cohertiones,cohertionem
confluentiam,confluentio
cirografati,cirografato
cirografate,cirografato
cirografata,cirografatum
cirografatis,cirograpati
cirografari,cirograpati
cirografti,cirografato
cirografpati,cirografato
victualibus,uictualibus
sigilabimus,sigilauimus
receptionis,deceptionis
deceptioni,deceptionis
catalaunensi,catalaunensis
catalaunenses,catalaunensi
bisuntinensi,bisuntinensis
bisontinensis,bisuntinensis
bisuntinenses,bisuntinensi
bisunptinensis,bisuntinensis
prelationem,predationem
subscriventibus,subscribentibus
elthelferth,ethelferth
quotienscunque,quotienscumque
quotiescunque,quotienscumque
antecessores,antecesores
pontificicus,pontificibus
consignatas,consignata
consignatam,consignatum
servantibus,seruantibus
hobediencie,obediencie
humilitati,humilitatis
supplementum,suplementum
ilustrisimo,ilustrisimi
ilustrisime,ilustrisimi
ilustrisima,ilustrisimi
ilustrisimis,ilustrisimus
dispensatio,dispensario
dispensari,dispensario
despensario,dispensario
dispensarii,despensario
dispensaris,dispensariis
imperatorem,imperatore
conuenienti,conuenientia
conuenientiam,conuenientia
conuenientias,conuenientiis
conuenientie,conuenientia
conueniencia,conuenientie
conuenientis,conueniendi
couenientia,conuenientia
constancien,constancie
perquireret,perquirere
perciperet,perciperent
perciperint,perciperent
contradicentes,contradicente
contradicentem,contradicente
contradicent,contradicunt
perturbatorem,perturbatores
relaxauerint,relaxauerunt
relauxauerunt,relaxauerunt
relaxauerant,relaxauerunt
solemnitatibus,solempnitatibus
reuertendis,reuertendi
reformatione,reformationem
possidentes,possideatis
stalingburgh,stalingburg
stalingbur,stalingburg
staningburg,stalingburg
stalingburn,stalingburg
stalinburg,stalingburg
adquisierint,acquisierint
adquisierant,acquisierint
adquisierit,acquisierit
adquiesierint,acquisierint
aqquisierint,acquisierint
jurisperitorum,iurisperitorum
iurisperiturum,iurisperitorum
percipimus,percipiemus
percipiamus,percipiemus
perciepiemus,percipiemus
profecturis,prefecturis
prefecturus,prefecturis
obseruaret,obseruarent
pronuntiauimus,pronunciauimus
prononciauimus,pronunciauimus
inquisitioni,inquisitione
inquisitionis,inquisitione
competiture,competituro
competitura,competituras
conpetituro,competituro
cestrefeldo,cestrefeld
cicestrens,cicestrensi
cicestrense,cicestrensem
ratificante,ratificate
ratificantem,ratificantes
ratificantis,ratificantes
apropriatus,apropriatum
iuridictione,iurisdictione
iuriditione,iurisdictione
iuridiction,iurisdictione
iuridictiones,iurisdictionis
leodegarium,leodegarius
castelariam,castelaria
lungipontis,longipontis
cupiditatem,cupiditatum
presumptionem,presumptione
presumptioni,presumptionis
presumpcione,presumptionem
presumptiose,presumptione
perscriptas,perscriptus
contemplationi,contemplationis
cognominatus,cognominatur
cognominantur,cognominatur
cognominatum,cognominatam
prosequente,prosequendi
presequentes,prosequentes
prosequentis,prosequendi
moderatori,moderatoris
inviolabilis,inuiolabilis
inuiolabilia,inuiolabilis
ordinatorem,ordinatorum
ordinatoris,ordinatores
asencientibus,asentientibus
sentientibus,asentientibus
quitationibus,equitationibus
quictationibus,quietationibus
montisburgo,montisburgi
montisbergi,montisburgo
montisburg,montisburgi
inocentibus,inocentius
oxenfordiam,oxenefordiam
oxinefordiam,oxenfordiam
oxenefordam,oxenfordiam
oxonefordiam,oxenefordiam
oxnefordiam,oxenefordiam
oxenafordiam,oxenefordiam
reliquimus,relinquimus
relinquamus,relinquimus
quarteruiginti,quateruiginti
buticularium,buticularius
buticlarius,buticularius
presentauerint,presentauerunt
ierosolimitan,ierosolimitani
ierosolomitani,ierosolimitani
ierosolimitano,ierosolimitani
ierosolimitana,iherosolimitana
iherosolimitani,iherosolimitana
ierosolimitanis,iherosolimitani
ierosolimitane,ierosolomitani
hierosolimitani,ierosolimitanis
ierisolimitani,ierosolimitani
ierusolimitani,ierusalimitani
lerosolimitani,ierosolimitani
necessariam,necessaria
coronatione,coronationem
conseruatione,conseruationem
sacristario,sacristarie
sacristaria,sacristariam
sacristanie,sacristani
sacristerie,sacristarie
sacristiarie,sacristarie
alienationes,alienationis
alienatione,alienationem
testimonialem,testimoniales
testimonialis,testimoniali
celebrandis,celebrandi
destringendum,distringendum
distringendam,distringendum
compromisionem,compromisione
compromisioni,compromisionis
conpromisione,compromisione
compelendis,complendis
expediendi,expediendis
expediendas,expedienda
permanserint,permanserit
permanserant,permanserunt
siluanectem,siluanectum
siluanectun,siluanectum
ireuocabilis,ireuocabili
ireuocabile,ireuocabili
ireuocabilia,inreuocabilia
inreuocabili,inreuocabilia
apenditiarum,apendiciarum
custodierint,custodierit
archiepiscopum,archiepiscopus
cognoscatur,cognoscitur
cognoscetur,cognoscitur
cognoscimur,cognoscimus
terminantur,terminatur
consiliarios,consiliariis
consiliarii,consiliarios
consiliarius,consiliariis
consiliaris,consiliatris
consecratam,consecrata
consecratas,consecratus
succedentia,sucedentia
composuerint,composuerunt
mansionibns,mansionibus
derelinquendam,derelinquendum
perdicionis,perditionis
perditioni,perditionis
consequantur,consequatur
consequitur,consequatur
consequntur,consecuntur
consequamur,consequatur
impediatur,impediantur
inpediantur,impediantur
obediencia,obedienciam
obediencias,obedienciam
hobediencia,obedientia
dapsilitati,dapsilitatis
dapsilitates,dapsilitatem
dampsilitatis,dapsilitatis
alegationis,alegationi
notingheham,notingeham
adjacentium,adiacentium
secularesue,secularisue
secularique,secularisue
herefordiam,herefordia
mercatoriis,mercatoris
remanserant,remanserat
dilectisimis,dilectisimi
dilectisimo,dilectisimis
dilectisime,dilectisimi
dilectissimi,dilectissimo
bridlington,bridelington
bridelingtona,bridelington
brideligton,bridelington
wridelington,bridelington
bridelingtone,bridelington
bridelinton,bridelington
bidelington,bridelington
significari,significare
singnificare,significare
significate,significato
presentandus,presentandum
presentandam,presentandum
celebraturus,celebraturos
celebaturum,celebraturum
significabit,significauit
significavit,significauit
significaui,significauit
clerkenwel,clerkenwele
clerkinwele,clerkinwel
clerkenewele,clerkenwele
confirmauerat,confirmauerit
confirmauerim,confirmauerat
transigendo,transigendi
transignendi,transigendi
transigenda,transigendi
remissionis,remisionis
amonitionem,monitionem
uocaruerunt,uocauerunt
molestationes,molestationis
disensiones,disensionis
disentionis,disensiones
swineheued,swinesheued
suinesheued,swinesheued
swineshefed,swinesheued
swinesheved,swynesheved
swinesheuet,swinesheued
swinisheued,swinesheued
perquisitas,perquisita
perquisitos,perquisito
perquisitio,perquisito
concanonici,concanonicus
concanonicos,concanonicus
perseuerabunt,perseuerarunt
quenigburg,queningburg
cabilonense,cabilonensem
cartusiensi,cartusiensis
carturiensis,cartusiensis
diuionensem,diuionenses
diuionense,diuionenses
retrofeudis,retrofeodis
retrofeodi,retrofeodis
dorobernice,dorobernie
contradixerint,contradixerunt
consentiendi,consenciendi
consensiendo,consentiendo
consenciendo,consenciendi
indubitater,indubitate
abstulerant,abstulerunt
humilitatem,humilitate
mansiunculas,mansiunculis
similitudine,similitudinem
exsequendis,exequendis
uenerationem,ueneratione
generatione,uenerationem
uenerationi,generatione
veneratione,ueneratione
ueneracione,generatione
inunenerunt,inuenerunt
necessarias,necessariis
ospitandum,hospitandum
forisfecerint,forisfecerit
forifecerit,forisfecerit
forisfecerim,forisfecerit
forisfecerat,forisfecerit
tancarduila,tancardiuila
tancariuila,tancardiuila
intromiteret,intromitere
intromittere,intromitere
albermarlie,albemarlie
inspirationem,inspiratione
terminentur,terminetur
quietantiis,quietanciis
quietancias,quietanciam
consulente,consulentes
uersabantur,uersabatur
conqueuise,conquieuise
conquieuiset,conquieuise
familiarius,familiarium
conuenientius,conuenientiis
compareret,comparerent
compararent,compararet
iuridictio,iurisdictio
examiniuimus,examinauimus
examinatione,examinationem
disponendis,disponendas
prouiderunt,prouiderent
responsuros,responsurus
responsurum,responsurus
conceseramus,conceserimus
bermundeseiam,beremundeseiam
beremundeseia,beremundeseiam
beremundseiam,beremundeseiam
atrebatensi,atrebatensis
atrabatensis,atrebatensis
atrebatenses,atrebatensem
intercessionibus,intercesionibus
respondentem,respondentes
respondente,respondentes
extendentes,extendentem
extendente,extendentem
fondationis,fundationis
prouideamus,prouidemus
recipiantur,recipiatur
precipiatur,precipitur
prosequenda,prosequendo
prosequendi,prosequendo
prosequendos,prosequenda
deliberatio,deliberatis
deliberatos,deliberato
pontigniaco,montigniaco
coronatorem,coronatore
coronatores,coronatore
arcimbaudus,arcambaudus
arcembaldus,arcenbaldus
arcambaldus,arcambaudus
alcimbaldus,arcimbaldus
curtigniaco,curtiniaco
predecessores,predecesores
predecessorem,predecesores
sanctitate,sanctitatem
confirmabit,confirmauit
confirmabi,confirmauit
presumptivo,presumptio
fragilitate,fragilitatem
adipiscendam,adipiscenda
adipiscendo,adipiscenda
metropolitana,metropolitane
metropolitani,metropolitane
metropolitano,metropolitane
metropolitanea,metropolitane
reconciliationes,reconciliationis
reconciliatione,reconciliationem
reconciliationum,reconciliationem
desideranter,desiderantes
desiderante,desiderate
desiderates,desideratis
atheldredus,athelredus
hereditariam,hereditarium
hereditagium,heremitagium
hereditarius,hereditariis
hereditalium,hereditarium
uuintaniensis,wintaniensis
unintoniensis,uuintoniensis
uuintoniensi,uuintoniensis
uuiltoniensis,uuintoniensis
uuentoniensis,uuintoniensis
restaurarem,restaurare
restauraret,restaurarent
restituenda,restituendo
restituendi,restituendis
restituendos,restituendis
constantiam,constantia
partitionem,partitione
partitiones,partitione
adiacentis,adiacentiis
adiacenciis,adiacentiis
adiacentias,adiacentia
aciacentiis,aciacensiis
aiacentiis,adiacentiis
restituendam,restituendum
disturbationem,disturbatione
ingelramnus,ingelramus
coroboratam,corroborata
corroboratum,corroborata
coroboratur,coroboratum
custodiendo,custodienda
custodiendas,custodiendis
custodiendi,custodiendis
custodiende,custodienda
protulerint,protulerit
protulerant,protulerunt
piscationi,piscationis
sepeliatur,sepeliantur
sepelientur,sepeliantur
sepeliuntur,sepeliantur
inotescimur,inotescitur
habundantia,habundanti
habundantie,habundanti
possederant,possederat
bradenestoke,bradenestok
bradenstok,bradenestok
bradenastok,bradenestok
inmunitatibus,imunitatibus
